# mRange,cKinked,cIRA,period
-5.715649060472480780e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
-5.615649060472480691e-01,9.243743989123321889e-03,8.311048199345062726e-03,1.500000000000000000e+01
-5.515649060472480603e-01,1.837203820300390561e-02,1.754554619861723938e-02,1.500000000000000000e+01
-5.415649060472480514e-01,2.744542601944083282e-02,2.673606368873291880e-02,1.500000000000000000e+01
-5.315649060472480425e-01,3.651881383587776697e-02,3.582404076295528372e-02,1.500000000000000000e+01
-5.215649060472480336e-01,4.559220165231469418e-02,4.491201783717765211e-02,1.500000000000000000e+01
-5.115649060472480247e-01,5.466558946875162833e-02,5.399999491140002050e-02,1.500000000000000000e+01
-5.015649060472480159e-01,6.373897728518855554e-02,6.308797198562238195e-02,1.500000000000000000e+01
-4.915649060472480070e-01,7.281236510162548969e-02,7.217594905984474341e-02,1.500000000000000000e+01
-4.815649060472479981e-01,8.188575291806240997e-02,8.126392613406710486e-02,1.500000000000000000e+01
-4.715649060472479892e-01,9.095914073449933024e-02,9.035190320828948018e-02,1.500000000000000000e+01
-4.615649060472479803e-01,1.000325285509362644e-01,9.943988028251182776e-02,1.500000000000000000e+01
-4.515649060472479714e-01,1.091059163673731847e-01,1.085278573567341892e-01,1.500000000000000000e+01
-4.415649060472479626e-01,1.181793041838101188e-01,1.176158344309565784e-01,1.500000000000000000e+01
-4.315649060472479537e-01,1.272526920002470530e-01,1.267038115051789537e-01,1.500000000000000000e+01
-4.215649060472479448e-01,1.363260798166839594e-01,1.357917885794013013e-01,1.500000000000000000e+01
-4.115649060472479359e-01,1.453994676331209213e-01,1.448797656536236766e-01,1.500000000000000000e+01
-4.015649060472479270e-01,1.544728554495578277e-01,1.539677427278460242e-01,1.500000000000000000e+01
-3.915649060472479182e-01,1.635462432659947896e-01,1.630557198020683995e-01,1.500000000000000000e+01
-3.815649060472479093e-01,1.726196310824316960e-01,1.721436968762907749e-01,1.500000000000000000e+01
-3.715649060472479004e-01,1.816930188988686579e-01,1.812316739505131502e-01,1.500000000000000000e+01
-3.615649060472478915e-01,1.907664067153055643e-01,1.903196510247354700e-01,1.500000000000000000e+01
-3.515649060472478826e-01,1.998397945317424984e-01,1.994076280989578454e-01,1.500000000000000000e+01
-3.415649060472478737e-01,2.089131823481794048e-01,2.084956051731802207e-01,1.500000000000000000e+01
-3.315649060472478649e-01,2.179865701646163112e-01,2.175835822474025683e-01,1.500000000000000000e+01
-3.215649060472478560e-01,2.270599579810532731e-01,2.266715593216249436e-01,1.500000000000000000e+01
-3.115649060472478471e-01,2.361333457974901795e-01,2.357595363958473189e-01,1.500000000000000000e+01
-3.015649060472478382e-01,2.452067336139271414e-01,2.448475134700696665e-01,1.500000000000000000e+01
-2.915649060472478293e-01,2.542801214303640478e-01,2.539354905442920418e-01,1.500000000000000000e+01
-2.815649060472478205e-01,2.633535092468010097e-01,2.625074852962821503e-01,1.500000000000000000e+01
-2.715649060472478116e-01,2.719237196225749442e-01,2.709110409100290440e-01,1.500000000000000000e+01
-2.615649060472478027e-01,2.801858940741516202e-01,2.793145965237759376e-01,1.500000000000000000e+01
-2.515649060472477938e-01,2.884480685257282961e-01,2.877181521375228312e-01,1.500000000000000000e+01
-2.415649060472477849e-01,2.967102429773049721e-01,2.961217077512696694e-01,1.500000000000000000e+01
-2.315649060472477760e-01,3.049724174288816481e-01,3.044478909479166329e-01,1.500000000000000000e+01
-2.215649060472477672e-01,3.132345918804583240e-01,3.127289154660956583e-01,1.500000000000000000e+01
-2.115649060472477583e-01,3.214967663320349445e-01,3.210099399842746282e-01,1.500000000000000000e+01
-2.015649060472477494e-01,3.297589407836116759e-01,3.292909645024537091e-01,1.500000000000000000e+01
-1.915649060472477405e-01,3.380211152351883519e-01,3.375719890206327345e-01,1.500000000000000000e+01
-1.815649060472477316e-01,3.462832896867650279e-01,3.458530135388118154e-01,1.500000000000000000e+01
-1.715649060472477228e-01,3.545454641383417038e-01,3.541340380569907853e-01,1.500000000000000000e+01
-1.615649060472477139e-01,3.628076385899183798e-01,3.624150625751698662e-01,1.500000000000000000e+01
-1.515649060472477050e-01,3.710698130414950557e-01,3.706960870933488916e-01,1.500000000000000000e+01
-1.415649060472476961e-01,3.793319874930717317e-01,3.789771116115279170e-01,1.500000000000000000e+01
-1.315649060472476872e-01,3.875941619446484077e-01,3.872581361297069424e-01,1.500000000000000000e+01
-1.215649060472476783e-01,3.958563363962250836e-01,3.955391606478859678e-01,1.500000000000000000e+01
-1.115649060472476695e-01,4.035664826835856922e-01,4.029313705772402110e-01,1.500000000000000000e+01
-1.015649060472476606e-01,4.106403765998388744e-01,4.100382887838177615e-01,1.500000000000000000e+01
-9.156490604724765170e-02,4.177142705160921121e-01,4.171452069903952564e-01,1.500000000000000000e+01
-8.156490604724764282e-02,4.247881644323452943e-01,4.242521251969728624e-01,1.500000000000000000e+01
-7.156490604724763394e-02,4.318620583485984765e-01,4.313590434035504129e-01,1.500000000000000000e+01
-6.156490604724762505e-02,4.389359522648517142e-01,4.384659616101279633e-01,1.500000000000000000e+01
-5.156490604724761617e-02,4.460098461811048964e-01,4.455728798167054583e-01,1.500000000000000000e+01
-4.156490604724760729e-02,4.530837400973580786e-01,4.521624567291772645e-01,1.500000000000000000e+01
-3.156490604724759841e-02,4.601576340136113163e-01,4.586592422539202962e-01,1.500000000000000000e+01
-2.156490604724758953e-02,4.672315279298644985e-01,4.651560277786632724e-01,1.500000000000000000e+01
-1.156490604724758064e-02,4.742143440966219425e-01,4.716528133034062487e-01,1.500000000000000000e+01
-1.564906047247571763e-03,4.801767694711359669e-01,4.781495988281492249e-01,1.500000000000000000e+01
8.435093952752437119e-03,4.861391948456499357e-01,4.846463843528922011e-01,1.500000000000000000e+01
1.843509395275244600e-02,4.921016202201639045e-01,4.911431698776351773e-01,1.500000000000000000e+01
2.843509395275245488e-02,4.980640455946779288e-01,4.974799051911788506e-01,1.500000000000000000e+01
3.843509395275246376e-02,5.040264709691919531e-01,5.029889754216170239e-01,1.500000000000000000e+01
4.843509395275247265e-02,5.099888963437059219e-01,5.084980456520551417e-01,1.500000000000000000e+01
5.843509395275248153e-02,5.159513217182198908e-01,5.140071158824932596e-01,1.500000000000000000e+01
6.843509395275249041e-02,5.219137470927339706e-01,5.195161861129313774e-01,1.500000000000000000e+01
7.843509395275249929e-02,5.270605795684349948e-01,5.250252563433694952e-01,1.500000000000000000e+01
8.843509395275250817e-02,5.321388102259683173e-01,5.305343265738076131e-01,1.500000000000000000e+01
9.843509395275251705e-02,5.372170408835017508e-01,5.360433968042458419e-01,1.500000000000000000e+01
1.084350939527525259e-01,5.422952715410350732e-01,5.415524670346839597e-01,1.500000000000000000e+01
1.184350939527525348e-01,5.473735021985685067e-01,5.465461603594502504e-01,1.500000000000000000e+01
1.284350939527525437e-01,5.524517328561018292e-01,5.511663134224089600e-01,1.500000000000000000e+01
1.384350939527525526e-01,5.575299635136351517e-01,5.557864664853677805e-01,1.500000000000000000e+01
1.484350939527525615e-01,5.621939713954866580e-01,5.604066195483267121e-01,1.500000000000000000e+01
1.584350939527525703e-01,5.666324798020292430e-01,5.650267726112855327e-01,1.500000000000000000e+01
1.684350939527525792e-01,5.710709882085720501e-01,5.696469256742443532e-01,1.500000000000000000e+01
1.784350939527525881e-01,5.755094966151146352e-01,5.742670787372031738e-01,1.500000000000000000e+01
1.884350939527525970e-01,5.799480050216573312e-01,5.788872318001619943e-01,1.500000000000000000e+01
1.984350939527526059e-01,5.843865134282000273e-01,5.835073848631209259e-01,1.500000000000000000e+01
2.084350939527526148e-01,5.888250218347426124e-01,5.881275379260796354e-01,1.500000000000000000e+01
2.184350939527526236e-01,5.929252786409995313e-01,5.919912383786334331e-01,1.500000000000000000e+01
2.284350939527526325e-01,5.968300845987180026e-01,5.958218177590299813e-01,1.500000000000000000e+01
2.384350939527526414e-01,6.007348905564364738e-01,5.996523971394265295e-01,1.500000000000000000e+01
2.484350939527526503e-01,6.046396965141549451e-01,6.034829765198231888e-01,1.500000000000000000e+01
2.584350939527526592e-01,6.085445024718734164e-01,6.073135559002197370e-01,1.500000000000000000e+01
2.684350939527526680e-01,6.124493084295918877e-01,6.111441352806162852e-01,1.500000000000000000e+01
2.784350939527526769e-01,6.163541143873102479e-01,6.149747146610128334e-01,1.500000000000000000e+01
2.884350939527526858e-01,6.200628015034123086e-01,6.188052940414093817e-01,1.500000000000000000e+01
2.984350939527526947e-01,6.236633423109176899e-01,6.226358734218059299e-01,1.500000000000000000e+01
3.084350939527527036e-01,6.272638831184229602e-01,6.264664528022025891e-01,1.500000000000000000e+01
3.184350939527527125e-01,6.308644239259282305e-01,6.302448983300120711e-01,1.500000000000000000e+01
3.284350939527527213e-01,6.344649647334335008e-01,6.336573452198145384e-01,1.500000000000000000e+01
3.384350939527527302e-01,6.380655055409388821e-01,6.370697921096171168e-01,1.500000000000000000e+01
3.484350939527527391e-01,6.416660463484441523e-01,6.404822389994194731e-01,1.500000000000000000e+01
3.584350939527527480e-01,6.451874442334530890e-01,6.438946858892220515e-01,1.500000000000000000e+01
3.684350939527527569e-01,6.485651022454608228e-01,6.473071327790245189e-01,1.500000000000000000e+01
3.784350939527527657e-01,6.519427602574684455e-01,6.507195796688269862e-01,1.500000000000000000e+01
3.884350939527527746e-01,6.553204182694761792e-01,6.541320265586294536e-01,1.500000000000000000e+01
3.984350939527527835e-01,6.586980762814838020e-01,6.575444734484320319e-01,1.500000000000000000e+01
4.084350939527527924e-01,6.620757342934915357e-01,6.609569203382346103e-01,1.500000000000000000e+01
4.184350939527528013e-01,6.654533923054991584e-01,6.643693672280370777e-01,1.500000000000000000e+01
4.284350939527528102e-01,6.688310503175068922e-01,6.677818141178395450e-01,1.500000000000000000e+01
4.384350939527528190e-01,6.720940831692444606e-01,6.711942610076420124e-01,1.500000000000000000e+01
