# mRange,cKinked,Period
-5.304652870745691917e-01,0.000000000000000000e+00,1.000000000000000000e+00
-5.204652870745691828e-01,9.243721065714255100e-03,1.000000000000000000e+00
-5.104652870745691740e-01,1.841312310867846899e-02,1.000000000000000000e+00
-5.004652870745691651e-01,2.754718648543910339e-02,1.000000000000000000e+00
-4.904652870745691562e-01,3.668124986219974126e-02,1.000000000000000000e+00
-4.804652870745691473e-01,4.581531323896036872e-02,1.000000000000000000e+00
-4.704652870745691384e-01,5.494937661572101006e-02,1.000000000000000000e+00
-4.604652870745691295e-01,6.408343999248164446e-02,1.000000000000000000e+00
-4.504652870745691207e-01,7.321750336924227887e-02,1.000000000000000000e+00
-4.404652870745691118e-01,8.235156674600291327e-02,1.000000000000000000e+00
-4.304652870745691029e-01,9.148563012276354767e-02,1.000000000000000000e+00
-4.204652870745690940e-01,1.006196934995241821e-01,1.000000000000000000e+00
-4.104652870745690851e-01,1.097537568762848165e-01,1.000000000000000000e+00
-4.004652870745690763e-01,1.188878202530454509e-01,1.000000000000000000e+00
-3.904652870745690674e-01,1.280218836298060991e-01,1.000000000000000000e+00
-3.804652870745690585e-01,1.371559470065666919e-01,1.000000000000000000e+00
-3.704652870745690496e-01,1.462900103833273679e-01,1.000000000000000000e+00
-3.604652870745690407e-01,1.554240737600879885e-01,1.000000000000000000e+00
-3.504652870745690318e-01,1.645581371368486368e-01,1.000000000000000000e+00
-3.404652870745690230e-01,1.736922005136092850e-01,1.000000000000000000e+00
-3.304652870745690141e-01,1.828262638903698778e-01,1.000000000000000000e+00
-3.204652870745690052e-01,1.919603272671305261e-01,1.000000000000000000e+00
-3.104652870745689963e-01,2.010943906438911466e-01,1.000000000000000000e+00
-3.004652870745689874e-01,2.102284540206518226e-01,1.000000000000000000e+00
-2.904652870745689786e-01,2.190889306647882118e-01,1.000000000000000000e+00
-2.804652870745689697e-01,2.277147259876192986e-01,1.000000000000000000e+00
-2.704652870745689608e-01,2.363405213104504132e-01,1.000000000000000000e+00
-2.604652870745689519e-01,2.449663166332815556e-01,1.000000000000000000e+00
-2.504652870745689430e-01,2.535921119561126424e-01,1.000000000000000000e+00
-2.404652870745689341e-01,2.622179072789437848e-01,1.000000000000000000e+00
-2.304652870745689253e-01,2.708437026017748717e-01,1.000000000000000000e+00
-2.204652870745689164e-01,2.794694979246059585e-01,1.000000000000000000e+00
-2.104652870745689075e-01,2.880952932474371009e-01,1.000000000000000000e+00
-2.004652870745688986e-01,2.967210885702681877e-01,1.000000000000000000e+00
-1.904652870745688897e-01,3.053468838930993301e-01,1.000000000000000000e+00
-1.804652870745688809e-01,3.139726792159304170e-01,1.000000000000000000e+00
-1.704652870745688720e-01,3.225984745387615038e-01,1.000000000000000000e+00
-1.604652870745688631e-01,3.312242698615926462e-01,1.000000000000000000e+00
-1.504652870745688542e-01,3.398500651844237330e-01,1.000000000000000000e+00
-1.404652870745688453e-01,3.478561218223328311e-01,1.000000000000000000e+00
-1.304652870745688364e-01,3.556781286361420658e-01,1.000000000000000000e+00
-1.204652870745688276e-01,3.635001354499513004e-01,1.000000000000000000e+00
-1.104652870745688187e-01,3.713221422637605906e-01,1.000000000000000000e+00
-1.004652870745688098e-01,3.791441490775698253e-01,1.000000000000000000e+00
-9.046528707456880092e-02,3.869661558913790600e-01,1.000000000000000000e+00
-8.046528707456879204e-02,3.947881627051882947e-01,1.000000000000000000e+00
-7.046528707456878315e-02,4.026101695189975849e-01,1.000000000000000000e+00
-6.046528707456877427e-02,4.104321763328068196e-01,1.000000000000000000e+00
-5.046528707456876539e-02,4.182541831466160542e-01,1.000000000000000000e+00
-4.046528707456875651e-02,4.252934692294730867e-01,1.000000000000000000e+00
-3.046528707456874763e-02,4.322434202611846188e-01,1.000000000000000000e+00
-2.046528707456873875e-02,4.391933712928963174e-01,1.000000000000000000e+00
-1.046528707456872986e-02,4.461433223246078494e-01,1.000000000000000000e+00
-4.652870745687209819e-04,4.530932733563194370e-01,1.000000000000000000e+00
9.534712925431287900e-03,4.600432243880310801e-01,1.000000000000000000e+00
1.953471292543129678e-02,4.669931754197426677e-01,1.000000000000000000e+00
2.953471292543130566e-02,4.736104064078586195e-01,1.000000000000000000e+00
3.953471292543131455e-02,4.797639166842736502e-01,1.000000000000000000e+00
4.953471292543132343e-02,4.859174269606886254e-01,1.000000000000000000e+00
5.953471292543133231e-02,4.920709372371037116e-01,1.000000000000000000e+00
6.953471292543134119e-02,4.982244475135186867e-01,1.000000000000000000e+00
7.953471292543135007e-02,5.043779577899337729e-01,1.000000000000000000e+00
8.953471292543135895e-02,5.104526314968422795e-01,1.000000000000000000e+00
9.953471292543136784e-02,5.159385110551085729e-01,1.000000000000000000e+00
1.095347129254313767e-01,5.214243906133750883e-01,1.000000000000000000e+00
